Date,Borough,Total Count ,Count (Age group 0 - 4) ,Count (Age group 5 - 17) ,Count (Age group 18 - 64) ,Count (Age group 65+) 
01/01/06,Bronx,75,22,14,33,6
01/01/06,Brooklyn,92,32,16,42,2
01/01/06,Manhattan,43,9,7,23,4
01/01/06,Queens,38,14,7,13,4
01/01/06,Staten Island,7,0,0,1,6
01/01/06,Unknown,11,5,2,4,0
01/02/06,Bronx,110,27,17,56,10
01/02/06,Brooklyn,121,35,17,59,10
01/02/06,Manhattan,63,21,6,34,2
01/02/06,Queens,32,10,1,18,3
01/02/06,Staten Island,4,0,1,3,0
01/02/06,Unknown,10,2,2,6,0
01/03/06,Bronx,81,17,16,40,8
01/03/06,Brooklyn,112,22,17,68,5
01/03/06,Manhattan,44,8,8,22,6
01/03/06,Queens,41,12,9,15,5
01/03/06,Staten Island,5,0,0,3,2
01/03/06,Unknown,11,2,2,6,1
01/04/06,Bronx,79,20,9,43,7
01/04/06,Brooklyn,95,15,14,61,5
01/04/06,Manhattan,38,5,10,21,2
01/04/06,Queens,28,6,7,12,3
01/04/06,Staten Island,12,0,1,6,5
01/04/06,Unknown,6,2,2,2,0
01/05/06,Bronx,87,24,19,38,6
01/05/06,Brooklyn,89,25,11,50,3
01/05/06,Manhattan,45,12,11,21,1
01/05/06,Queens,31,10,5,12,4
01/05/06,Staten Island,5,1,0,3,1
01/05/06,Unknown,8,0,0,6,2
01/06/06,Bronx,70,19,6,40,5
01/06/06,Brooklyn,87,29,13,39,6
01/06/06,Manhattan,51,8,9,29,5
01/06/06,Queens,21,2,3,10,6
01/06/06,Staten Island,5,0,0,2,3
01/06/06,Unknown,6,3,0,2,1
01/07/06,Bronx,63,11,14,31,7
01/07/06,Brooklyn,76,21,11,37,7
01/07/06,Manhattan,40,7,9,19,5
01/07/06,Queens,28,12,2,9,5
01/07/06,Staten Island,11,0,1,6,4
01/07/06,Unknown,3,0,0,3,0
01/08/06,Bronx,66,14,18,29,5
01/08/06,Brooklyn,87,22,15,44,6
01/08/06,Manhattan,48,6,12,26,4
01/08/06,Queens,22,6,2,13,1
01/08/06,Staten Island,14,2,0,10,2
01/08/06,Unknown,11,5,2,4,0
01/09/06,Bronx,96,16,26,44,10
01/09/06,Brooklyn,113,30,22,53,8
01/09/06,Manhattan,63,7,19,33,4
01/09/06,Queens,22,6,9,4,3
01/09/06,Staten Island,3,2,0,1,0
01/09/06,Unknown,7,0,0,6,1
01/10/06,Bronx,75,12,17,42,4
01/10/06,Brooklyn,76,17,21,33,5
01/10/06,Manhattan,66,12,17,31,6
01/10/06,Queens,24,4,6,10,4
01/10/06,Staten Island,8,0,1,6,1
01/10/06,Unknown,6,1,0,5,0
01/11/06,Bronx,83,14,18,43,8
01/11/06,Brooklyn,86,24,10,48,4
01/11/06,Manhattan,46,7,5,29,5
01/11/06,Queens,35,7,9,14,5
01/11/06,Staten Island,7,1,1,5,0
01/11/06,Unknown,6,1,0,4,1
01/12/06,Bronx,75,14,19,38,4
01/12/06,Brooklyn,74,19,20,33,2
01/12/06,Manhattan,61,5,18,32,6
01/12/06,Queens,39,7,9,17,6
01/12/06,Staten Island,10,0,1,5,4
01/12/06,Unknown,3,1,2,0,0
01/13/06,Bronx,65,19,9,33,4
01/13/06,Brooklyn,82,19,20,37,6
01/13/06,Manhattan,46,9,11,22,4
01/13/06,Queens,26,10,4,7,5
01/13/06,Staten Island,6,1,1,2,2
01/13/06,Unknown,9,3,1,5,0
01/14/06,Bronx,53,8,15,25,5
01/14/06,Brooklyn,66,13,11,37,5
01/14/06,Manhattan,37,8,10,15,4
01/14/06,Queens,21,5,7,8,1
01/14/06,Staten Island,3,0,0,2,1
01/14/06,Unknown,6,2,0,4,0
01/15/06,Bronx,60,9,23,24,4
01/15/06,Brooklyn,85,16,16,49,4
01/15/06,Manhattan,38,7,12,18,1
01/15/06,Queens,19,4,7,4,4
01/15/06,Staten Island,4,0,1,1,2
01/15/06,Unknown,8,4,0,3,1
01/16/06,Bronx,79,18,16,39,6
01/16/06,Brooklyn,128,22,30,71,5
01/16/06,Manhattan,59,9,17,31,2
01/16/06,Queens,34,5,9,17,3
01/16/06,Staten Island,9,1,3,4,1
01/16/06,Unknown,8,4,1,2,1
01/17/06,Bronx,93,20,25,40,8
01/17/06,Brooklyn,107,21,30,50,6
01/17/06,Manhattan,55,6,15,28,6
01/17/06,Queens,24,7,10,4,3
01/17/06,Staten Island,4,0,1,1,2
01/17/06,Unknown,10,1,2,7,0
01/18/06,Bronx,81,15,22,33,11
01/18/06,Brooklyn,103,18,25,58,2
01/18/06,Manhattan,51,7,15,27,2
01/18/06,Queens,23,7,4,11,1
01/18/06,Staten Island,3,0,0,2,1
01/18/06,Unknown,4,2,0,2,0
01/19/06,Bronx,76,10,17,41,8
01/19/06,Brooklyn,80,17,24,36,3
01/19/06,Manhattan,60,10,12,30,8
01/19/06,Queens,30,6,13,9,2
01/19/06,Staten Island,5,0,1,3,1
01/19/06,Unknown,4,1,1,2,0
01/20/06,Bronx,62,12,15,31,4
01/20/06,Brooklyn,96,21,17,50,8
01/20/06,Manhattan,25,5,5,12,3
01/20/06,Queens,13,2,3,3,5
01/20/06,Staten Island,7,0,3,1,3
01/20/06,Unknown,7,3,0,4,0
01/21/06,Bronx,78,20,18,38,2
01/21/06,Brooklyn,73,20,15,33,5
01/21/06,Manhattan,36,6,7,19,4
01/21/06,Queens,20,6,5,6,3
01/21/06,Staten Island,3,0,1,0,2
01/21/06,Unknown,6,1,1,4,0
01/22/06,Bronx,70,13,18,35,4
01/22/06,Brooklyn,98,28,26,41,3
01/22/06,Manhattan,47,8,14,22,3
01/22/06,Queens,22,6,5,8,3
01/22/06,Staten Island,5,1,1,2,1
01/22/06,Unknown,10,2,2,6,0
01/23/06,Bronx,90,20,29,40,1
01/23/06,Brooklyn,145,38,43,55,9
01/23/06,Manhattan,54,6,12,33,3
01/23/06,Queens,31,5,9,14,3
01/23/06,Staten Island,10,1,1,5,3
01/23/06,Unknown,8,2,2,4,0
01/24/06,Bronx,92,20,27,40,5
01/24/06,Brooklyn,103,22,26,49,6
01/24/06,Manhattan,57,7,18,27,5
01/24/06,Queens,32,10,10,10,2
01/24/06,Staten Island,8,0,2,5,1
01/24/06,Unknown,8,2,1,4,1
01/25/06,Bronx,74,12,17,38,7
01/25/06,Brooklyn,100,24,25,46,5
01/25/06,Manhattan,61,14,11,34,2
01/25/06,Queens,25,5,8,10,2
01/25/06,Staten Island,13,1,3,8,1
01/25/06,Unknown,8,3,1,4,0
01/26/06,Bronx,78,17,13,42,6
01/26/06,Brooklyn,110,23,20,60,7
01/26/06,Manhattan,36,6,11,15,4
01/26/06,Queens,32,7,8,16,1
01/26/06,Staten Island,10,2,0,4,4
01/26/06,Unknown,2,0,0,1,1
01/27/06,Bronx,76,14,14,41,7
01/27/06,Brooklyn,92,21,27,40,4
01/27/06,Manhattan,50,5,5,35,5
01/27/06,Queens,29,4,6,15,4
01/27/06,Staten Island,3,0,2,1,0
01/27/06,Unknown,10,2,3,4,1
01/28/06,Bronx,74,9,22,36,7
01/28/06,Brooklyn,81,27,19,32,3
01/28/06,Manhattan,35,4,7,18,6
01/28/06,Queens,20,1,3,13,3
01/28/06,Staten Island,3,0,0,2,1
01/28/06,Unknown,8,2,1,4,1
01/29/06,Bronx,76,16,24,30,6
01/29/06,Brooklyn,95,20,29,44,2
01/29/06,Manhattan,48,6,9,25,8
01/29/06,Queens,28,6,11,9,2
01/29/06,Staten Island,8,1,1,4,2
01/29/06,Unknown,17,3,6,8,0
01/30/06,Bronx,115,20,31,54,10
01/30/06,Brooklyn,153,30,44,69,10
01/30/06,Manhattan,58,5,23,27,3
01/30/06,Queens,37,8,9,16,4
01/30/06,Staten Island,12,2,2,5,3
01/30/06,Unknown,15,1,3,10,1
01/31/06,Bronx,105,25,22,46,12
01/31/06,Brooklyn,130,21,36,69,4
01/31/06,Manhattan,53,7,9,28,9
01/31/06,Queens,25,7,5,11,2
01/31/06,Staten Island,5,0,2,2,1
01/31/06,Unknown,7,1,1,5,0
02/01/06,Bronx,98,18,21,53,6
02/01/06,Brooklyn,100,23,28,45,4
02/01/06,Manhattan,46,8,13,21,4
02/01/06,Queens,38,10,14,10,4
02/01/06,Staten Island,8,1,2,3,2
02/01/06,Unknown,7,3,0,4,0
02/02/06,Bronx,95,23,25,40,7
02/02/06,Brooklyn,114,31,32,46,5
02/02/06,Manhattan,56,4,16,35,1
02/02/06,Queens,26,2,7,16,1
02/02/06,Staten Island,12,0,5,6,1
02/02/06,Unknown,9,1,2,5,1
02/03/06,Bronx,74,12,15,42,5
02/03/06,Brooklyn,131,25,37,65,4
02/03/06,Manhattan,45,8,14,17,6
02/03/06,Queens,19,4,4,8,3
02/03/06,Staten Island,7,3,0,2,2
02/03/06,Unknown,8,3,2,3,0
02/04/06,Bronx,71,12,22,30,7
02/04/06,Brooklyn,95,35,17,39,4
02/04/06,Manhattan,40,5,9,22,4
02/04/06,Queens,25,7,5,12,1
02/04/06,Staten Island,7,1,1,4,1
02/04/06,Unknown,4,1,2,0,1
02/05/06,Bronx,76,21,18,30,7
02/05/06,Brooklyn,112,30,33,45,4
02/05/06,Manhattan,48,13,10,21,4
02/05/06,Queens,24,6,4,8,6
02/05/06,Staten Island,6,0,2,4,0
02/05/06,Unknown,6,1,2,2,1
02/06/06,Bronx,84,11,23,42,8
02/06/06,Brooklyn,152,27,40,78,7
02/06/06,Manhattan,65,14,16,27,8
02/06/06,Queens,40,10,15,12,3
02/06/06,Staten Island,9,1,2,5,1
02/06/06,Unknown,10,4,3,3,0
02/07/06,Bronx,103,12,26,59,6
02/07/06,Brooklyn,113,24,29,58,2
02/07/06,Manhattan,53,9,16,26,2
02/07/06,Queens,34,8,11,12,3
02/07/06,Staten Island,11,1,1,5,4
02/07/06,Unknown,8,2,2,4,0
02/08/06,Bronx,91,21,13,51,6
02/08/06,Brooklyn,115,24,31,54,6
02/08/06,Manhattan,59,9,17,30,3
02/08/06,Queens,18,3,2,10,3
02/08/06,Staten Island,5,0,0,4,1
02/08/06,Unknown,9,2,2,5,0
02/09/06,Bronx,68,15,10,38,5
02/09/06,Brooklyn,117,29,22,59,7
02/09/06,Manhattan,57,9,10,31,7
02/09/06,Queens,34,9,6,18,1
02/09/06,Staten Island,6,1,2,2,1
02/09/06,Unknown,8,4,1,3,0
02/10/06,Bronx,83,19,19,35,10
02/10/06,Brooklyn,104,21,24,53,6
02/10/06,Manhattan,52,7,10,30,5
02/10/06,Queens,25,7,7,10,1
02/10/06,Staten Island,6,0,1,4,1
02/10/06,Unknown,9,2,3,3,1
02/11/06,Bronx,75,17,16,33,9
02/11/06,Brooklyn,85,17,21,44,3
02/11/06,Manhattan,50,8,10,28,4
02/11/06,Queens,23,6,6,9,2
02/11/06,Staten Island,9,0,4,5,0
02/11/06,Unknown,2,1,0,0,1
02/12/06,Bronx,53,12,20,16,5
02/12/06,Brooklyn,61,10,16,32,3
02/12/06,Manhattan,33,2,4,24,3
02/12/06,Queens,23,5,4,12,2
02/12/06,Staten Island,4,0,0,2,2
