Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,JD_prcp  ,JD_snow  ,Month  ,State_id  ,Year  ,CPRC (in),CPRS (in),CSNW (in),PRCP (in),PRCP_flag  ,SNOW (in),SNOW_flag  ,SNWD (in),SNWD_flag  ,Season_prcp  ,Season_snow  ,TAVE (F),TMAX (F),TMAX_flag  ,TMIN (F),TMIN_flag   
1,1,93,154,1,'305801',2004,0,14.5,19.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',42,45,'  0',38,'  0' 
2,2,94,155,1,'305801',2004,0,14.5,19.8,0,'T 0',0,'  0',0,'  0','2003-04','2003-04',43,48,'  0',38,'  0' 
3,3,95,156,1,'305801',2004,0.01,14.51,19.8,0.01,'  0',0,'  0',0,'  0','2003-04','2003-04',51,58,'  0',44,'  0' 
4,4,96,157,1,'305801',2004,0.41,14.91,19.8,0.4,'  0',0,'  0',0,'  0','2003-04','2003-04',48,58,'  0',37,'  0' 
5,5,97,158,1,'305801',2004,0.76,15.26,19.8,0.35,'  0',0,'  0',0,'  0','2003-04','2003-04',38,39,'  0',37,'  0' 
6,6,98,159,1,'305801',2004,0.76,15.26,19.8,0,'T 0',0,'T 0',0,'  0','2003-04','2003-04',31,39,'  0',23,'  0' 
7,7,99,160,1,'305801',2004,0.76,15.26,19.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',22,25,'  0',18,'  0' 
8,8,100,161,1,'305801',2004,0.76,15.26,19.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',26,30,'  0',22,'  0' 
9,9,101,162,1,'305801',2004,0.76,15.26,19.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',18,29,'  0',6,'  0' 
10,10,102,163,1,'305801',2004,0.76,15.26,19.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',8,15,'  0',1,'  0' 
11,11,103,164,1,'305801',2004,0.76,15.26,19.8,0,'T 0',0,'T 0',0,'  0','2003-04','2003-04',17,27,'  0',7,'  0' 
12,12,104,165,1,'305801',2004,0.76,15.26,20.3,0,'T 0',0.5,'  0',0,'  0','2003-04','2003-04',31,38,'  0',24,'  0' 
13,13,105,166,1,'305801',2004,0.77,15.27,20.3,0.01,'  0',0,'T 0',.,'   ','2003-04','2003-04',31,44,'  0',17,'  0' 
14,14,106,167,1,'305801',2004,0.83,15.33,22.8,0.06,'  0',2.5,'  0',.,'   ','2003-04','2003-04',13,17,'  0',9,'  0' 
15,15,107,168,1,'305801',2004,0.92,15.42,26,0.09,'  0',3.2,'  0',.,'   ','2003-04','2003-04',10,18,'  0',2,'  0' 
16,16,108,169,1,'305801',2004,0.92,15.42,26,0,'  0',0,'  0',.,'   ','2003-04','2003-04',13,24,'  0',1,'  0' 
17,17,109,170,1,'305801',2004,0.92,15.42,26,0,'T 0',0,'T 0',.,'   ','2003-04','2003-04',27,34,'  0',19,'  0' 
18,18,110,171,1,'305801',2004,1.48,15.98,26.8,0.56,'  0',0.8,'  0',.,'   ','2003-04','2003-04',30,34,'  0',26,'  0' 
19,19,111,172,1,'305801',2004,1.48,15.98,26.8,0,'  0',0,'  0',2,'  0','2003-04','2003-04',24,27,'  0',20,'  0' 
20,20,112,173,1,'305801',2004,1.48,15.98,26.8,0,'  0',0,'  0',2,'  0','2003-04','2003-04',23,27,'  0',18,'  0' 
21,21,113,174,1,'305801',2004,1.48,15.98,26.8,0,'  0',0,'  0',2,'  0','2003-04','2003-04',22,28,'  0',16,'  0' 
22,22,114,175,1,'305801',2004,1.48,15.98,26.8,0,'T 0',0,'T 0',2,'  0','2003-04','2003-04',30,39,'  0',20,'  0' 
23,23,115,176,1,'305801',2004,1.48,15.98,26.8,0,'  0',0,'  0',2,'  0','2003-04','2003-04',17,20,'  0',13,'  0' 
24,24,116,177,1,'305801',2004,1.48,15.98,26.8,0,'  0',0,'  0',2,'  0','2003-04','2003-04',16,23,'  0',9,'  0' 
25,25,117,178,1,'305801',2004,1.48,15.98,26.8,0,'  0',0,'  0',2,'  0','2003-04','2003-04',13,19,'  0',7,'  0' 
26,26,118,179,1,'305801',2004,1.48,15.98,26.8,0,'T 0',0,'T 0',2,'  0','2003-04','2003-04',19,22,'  0',16,'  0' 
27,27,119,180,1,'305801',2004,1.95,16.45,32.8,0.47,'  0',6,'  0',2,'  0','2003-04','2003-04',21,24,'  0',18,'  0' 
28,28,120,181,1,'305801',2004,2.13,16.63,37.1,0.18,'  0',4.3,'  0',12,'  0','2003-04','2003-04',25,30,'  0',19,'  0' 
29,29,121,182,1,'305801',2004,2.13,16.63,37.1,0,'  0',0,'  0',9,'  0','2003-04','2003-04',23,27,'  0',18,'  0' 
30,30,122,183,1,'305801',2004,2.13,16.63,37.1,0,'  0',0,'  0',7,'  0','2003-04','2003-04',20,25,'  0',14,'  0' 
31,31,123,184,1,'305801',2004,2.13,16.63,37.1,0,'  0',0,'  0',7,'  0','2003-04','2003-04',22,28,'  0',15,'  0' 
1,32,124,185,2,'305801',2004,2.13,16.63,37.1,0,'  0',0,'  0',7,'  0','2003-04','2003-04',28,35,'  0',21,'  0' 
2,33,125,186,2,'305801',2004,2.13,16.63,37.1,0,'  0',0,'  0',7,'  0','2003-04','2003-04',31,38,'  0',23,'  0' 
3,34,126,187,2,'305801',2004,3.09,17.59,37.1,0.96,'  0',0,'  0',6,'  0','2003-04','2003-04',34,38,'  0',30,'  0' 
4,35,127,188,2,'305801',2004,3.09,17.59,37.1,0,'  0',0,'  0',5,'  0','2003-04','2003-04',38,43,'  0',33,'  0' 
5,36,128,189,2,'305801',2004,3.09,17.59,37.1,0,'  0',0,'  0',2,'  0','2003-04','2003-04',30,35,'  0',24,'  0' 
6,37,129,190,2,'305801',2004,4.68,19.18,37.8,1.59,'  0',0.7,'  0',2,'  0','2003-04','2003-04',33,37,'  0',28,'  0' 
7,38,130,191,2,'305801',2004,4.72,19.22,37.8,0.04,'  0',0,'  0',1,'  0','2003-04','2003-04',35,43,'  0',27,'  0' 
8,39,131,192,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',1,'  0','2003-04','2003-04',25,31,'  0',19,'  0' 
9,40,132,193,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',35,43,'  0',27,'  0' 
10,41,133,194,2,'305801',2004,4.72,19.22,37.8,0,'  0',0,'  0',0,'  0','2003-04','2003-04',43,48,'  0',38,'  0' 
