,Date,Year,Month,Day,TAVE (C),SNOW (in),PRCP (in)
0,2004-01-01,2004,1,1,5.555555555555555,0.0,0.0
1,2004-01-02,2004,1,2,6.111111111111111,0.0,0.0
2,2004-01-03,2004,1,3,10.555555555555555,0.0,0.01
3,2004-01-04,2004,1,4,8.88888888888889,0.0,0.4
4,2004-01-05,2004,1,5,3.3333333333333335,0.0,0.35
5,2004-01-06,2004,1,6,-0.5555555555555556,0.0,0.0
6,2004-01-07,2004,1,7,-5.555555555555555,0.0,0.0
7,2004-01-08,2004,1,8,-3.3333333333333335,0.0,0.0
8,2004-01-09,2004,1,9,-7.777777777777778,0.0,0.0
9,2004-1-10,2004,1,10,-13.333333333333334,0.0,0.0
10,2004-01-11,2004,1,11,-8.333333333333334,0.0,0.0
11,2004-01-12,2004,1,12,-0.5555555555555556,0.5,0.0
12,2004-01-13,2004,1,13,-0.5555555555555556,0.0,0.01
13,2004-01-14,2004,1,14,-10.555555555555555,2.5,0.06
14,2004-01-15,2004,1,15,-12.222222222222221,3.2,0.09
15,2004-01-16,2004,1,16,-10.555555555555555,0.0,0.0
16,2004-01-17,2004,1,17,-2.7777777777777777,0.0,0.0
17,2004-01-18,2004,1,18,-1.1111111111111112,0.8,0.56
18,2004-01-19,2004,1,19,-4.444444444444445,0.0,0.0
19,2004-01-20,2004,1,20,-5.0,0.0,0.0
20,2004-01-21,2004,1,21,-5.555555555555555,0.0,0.0
21,2004-01-22,2004,1,22,-1.1111111111111112,0.0,0.0
22,2004-01-23,2004,1,23,-8.333333333333334,0.0,0.0
23,2004-01-24,2004,1,24,-8.88888888888889,0.0,0.0
24,2004-01-25,2004,1,25,-10.555555555555555,0.0,0.0
25,2004-01-26,2004,1,26,-7.222222222222222,0.0,0.0
26,2004-01-27,2004,1,27,-6.111111111111111,6.0,0.47
27,2004-01-28,2004,1,28,-3.888888888888889,4.3,0.18
28,2004-01-29,2004,1,29,-5.0,0.0,0.0
29,2004-01-30,2004,1,30,-6.666666666666667,0.0,0.0
30,2004-01-31,2004,1,31,-5.555555555555555,0.0,0.0
31,2004-02-01,2004,2,1,-2.2222222222222223,0.0,0.0
32,2004-02-02,2004,2,2,-0.5555555555555556,0.0,0.0
33,2004-02-03,2004,2,3,1.1111111111111112,0.0,0.96
34,2004-02-04,2004,2,4,3.3333333333333335,0.0,0.0
35,2004-02-05,2004,2,5,-1.1111111111111112,0.0,0.0
36,2004-02-06,2004,2,6,0.5555555555555556,0.7,1.59
37,2004-02-07,2004,2,7,1.6666666666666667,0.0,0.04
38,2004-02-08,2004,2,8,-3.888888888888889,0.0,0.0
39,2004-02-09,2004,2,9,1.6666666666666667,0.0,0.0
40,2004-2-10,2004,2,10,6.111111111111111,0.0,0.0
41,2004-02-11,2004,2,11,2.2222222222222223,0.0,0.0
42,2004-02-12,2004,2,12,0.5555555555555556,0.0,0.0
43,2004-02-13,2004,2,13,3.3333333333333335,0.0,0.0
44,2004-02-14,2004,2,14,2.7777777777777777,0.0,0.0
45,2004-02-15,2004,2,15,-3.3333333333333335,0.0,0.0
46,2004-02-16,2004,2,16,-4.444444444444445,0.0,0.0
47,2004-02-17,2004,2,17,-2.2222222222222223,0.0,0.0
