,Date,YR,MTH,DAY,Total_Count,Count_(Age_group_0-4),Count_(Age_group_5-17),Count_(Age_group_18-64),Count_(Age_group_65+)
0,2006-01-01,2006,1,1,266.0,82.0,46.0,116.0,22.0
1,2006-01-02,2006,1,2,340.0,95.0,44.0,176.0,25.0
2,2006-01-03,2006,1,3,294.0,61.0,52.0,154.0,27.0
3,2006-01-04,2006,1,4,258.0,48.0,43.0,145.0,22.0
4,2006-01-05,2006,1,5,265.0,72.0,46.0,130.0,17.0
5,2006-01-06,2006,1,6,240.0,61.0,31.0,122.0,26.0
6,2006-01-07,2006,1,7,221.0,51.0,37.0,105.0,28.0
7,2006-01-08,2006,1,8,248.0,55.0,49.0,126.0,18.0
8,2006-01-09,2006,1,9,304.0,61.0,76.0,141.0,26.0
9,2006-01-10,2006,1,10,255.0,46.0,62.0,127.0,20.0
10,2006-01-11,2006,1,11,263.0,54.0,43.0,143.0,23.0
11,2006-01-12,2006,1,12,262.0,46.0,69.0,125.0,22.0
12,2006-01-13,2006,1,13,234.0,61.0,46.0,106.0,21.0
13,2006-01-14,2006,1,14,186.0,36.0,43.0,91.0,16.0
14,2006-01-15,2006,1,15,214.0,40.0,59.0,99.0,16.0
15,2006-01-16,2006,1,16,317.0,59.0,76.0,164.0,18.0
16,2006-01-17,2006,1,17,293.0,55.0,83.0,130.0,25.0
17,2006-01-18,2006,1,18,265.0,49.0,66.0,133.0,17.0
18,2006-01-19,2006,1,19,255.0,44.0,68.0,121.0,22.0
19,2006-01-20,2006,1,20,210.0,43.0,43.0,101.0,23.0
20,2006-01-21,2006,1,21,216.0,53.0,47.0,100.0,16.0
21,2006-01-22,2006,1,22,252.0,58.0,66.0,114.0,14.0
22,2006-01-23,2006,1,23,338.0,72.0,96.0,151.0,19.0
23,2006-01-24,2006,1,24,300.0,61.0,84.0,135.0,20.0
24,2006-01-25,2006,1,25,281.0,59.0,65.0,140.0,17.0
25,2006-01-26,2006,1,26,268.0,55.0,52.0,138.0,23.0
26,2006-01-27,2006,1,27,260.0,46.0,57.0,136.0,21.0
27,2006-01-28,2006,1,28,221.0,43.0,52.0,105.0,21.0
28,2006-01-29,2006,1,29,272.0,52.0,80.0,120.0,20.0
29,2006-01-30,2006,1,30,390.0,66.0,112.0,181.0,31.0
30,2006-01-31,2006,1,31,325.0,61.0,75.0,161.0,28.0
31,2006-02-01,2006,2,1,297.0,63.0,78.0,136.0,20.0
32,2006-02-02,2006,2,2,312.0,61.0,87.0,148.0,16.0
33,2006-02-03,2006,2,3,284.0,55.0,72.0,137.0,20.0
34,2006-02-04,2006,2,4,242.0,61.0,56.0,107.0,18.0
35,2006-02-05,2006,2,5,272.0,71.0,69.0,110.0,22.0
36,2006-02-06,2006,2,6,360.0,67.0,99.0,167.0,27.0
37,2006-02-07,2006,2,7,322.0,56.0,85.0,164.0,17.0
38,2006-02-08,2006,2,8,297.0,59.0,65.0,154.0,19.0
39,2006-02-09,2006,2,9,290.0,67.0,51.0,151.0,21.0
40,2006-02-10,2006,2,10,279.0,56.0,64.0,135.0,24.0
41,2006-02-11,2006,2,11,244.0,49.0,57.0,119.0,19.0
42,2006-02-12,2006,2,12,179.0,30.0,46.0,88.0,15.0
43,2006-02-13,2006,2,13,300.0,51.0,77.0,157.0,15.0
44,2006-02-14,2006,2,14,310.0,75.0,70.0,143.0,22.0
45,2006-02-15,2006,2,15,300.0,61.0,83.0,135.0,21.0
46,2006-02-16,2006,2,16,296.0,60.0,68.0,144.0,24.0
47,2006-02-17,2006,2,17,246.0,49.0,50.0,124.0,23.0
48,2006-02-18,2006,2,18,260.0,58.0,55.0,131.0,16.0
49,2006-02-19,2006,2,19,282.0,57.0,64.0,148.0,13.0
50,2006-02-20,2006,2,20,315.0,51.0,69.0,174.0,21.0
51,2006-02-21,2006,2,21,296.0,59.0,57.0,155.0,25.0
52,2006-02-22,2006,2,22,290.0,62.0,62.0,140.0,26.0
53,2006-02-23,2006,2,23,238.0,48.0,56.0,111.0,23.0
54,2006-02-24,2006,2,24,223.0,43.0,45.0,124.0,11.0
55,2006-02-25,2006,2,25,213.0,55.0,32.0,106.0,20.0
56,2006-02-26,2006,2,26,238.0,58.0,39.0,120.0,21.0
57,2006-02-27,2006,2,27,298.0,44.0,50.0,176.0,28.0
58,2006-02-28,2006,2,28,245.0,46.0,49.0,130.0,20.0
59,2006-03-01,2006,3,1,234.0,32.0,50.0,133.0,19.0
60,2006-03-02,2006,3,2,207.0,32.0,33.0,127.0,15.0
61,2006-03-03,2006,3,3,229.0,41.0,42.0,127.0,19.0
62,2006-03-04,2006,3,4,216.0,43.0,37.0,123.0,13.0
63,2006-03-05,2006,3,5,242.0,56.0,62.0,110.0,14.0
64,2006-03-06,2006,3,6,283.0,37.0,78.0,146.0,22.0
65,2006-03-07,2006,3,7,279.0,42.0,75.0,134.0,28.0
66,2006-03-08,2006,3,8,269.0,51.0,62.0,140.0,16.0
67,2006-03-09,2006,3,9,242.0,40.0,56.0,120.0,26.0
